"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"RPS25"	"RPS25"	0.320418806594411	-0.373405595862759	0.169349937161629	"S01"	0.320418806594411	"IS01"
"KPTN"	"KPTN"	0.320366627823855	-0.158570826008122	-0.0670435018765267	"S01"	0.320366627823855	"IS01"
"ERH"	"ERH"	0.313656664294818	-0.329844603719271	0.126508267115367	"S01"	0.313656664294818	"IS01"
"RNF157"	"RNF157"	0.311883698385644	0.0131694788390107	-0.249653281282679	"S01"	0.311883698385644	"IS01"
"MYOM2"	"MYOM2"	0.306598264903182	0.110066939681828	-0.352306938381105	"S01"	0.306598264903182	"IS01"
"HIST1H2AC"	"HIST1H2AC"	0.304871896466755	-0.193937734527655	-0.0164380434955261	"S01"	0.304871896466755	"IS01"
"PPP6R2"	"PPP6R2"	0.298260709799939	0.010341103870304	-0.2362688482822	"S01"	0.298260709799939	"IS01"
"MAP4K2"	"MAP4K2"	0.290677466193334	0.0352326133540003	-0.257945025002232	"S01"	0.290677466193334	"IS01"
"GPI"	"GPI"	0.286871412573709	-0.132264316376095	-0.0707393459897296	"S01"	0.286871412573709	"IS01"
"TEKT4"	"TEKT4"	0.28575106335963	-0.219236580276989	0.0258212534457083	"S01"	0.28575106335963	"IS01"
"SLC25A10"	"SLC25A10"	0.281088479741345	-0.309870647728294	0.129082628349927	"S01"	0.281088479741345	"IS01"
"NECAB1"	"NECAB1"	0.280573499983088	-0.0169121115499354	-0.192939652546535	"S01"	0.280573499983088	"IS01"
